Client Name;Phone;address1;city;zip code;country;Language;Image;Tag;Fidelity Grade;Create ON;Create BY
Tom Riley;(844) 173-6349;J en M Sabbestraat 11;Marche-en-famenne;14657;Belgique;English;employee_hne-image.png;;Bronze;18/03/16;Francois
Arlene Boyd;(820) 672-9455;Rue de la Fusée 96;Namur;14658;Belgique;English;employee-image.png;;Bronze;19/03/16;Thibault
Gerald Zuniga;(254) 419-9673;Rue de la poste;Brussel;14659;Belgique;French;employee_jep-image.jpg;;;20/03/16;Thibault
Vivian James;(741) 322-0528;Downing Street;Paris;14660;FR;English;employee_jgo-image.jpg;;Silver;21/03/16;Francois
Manuela Nelson;(400) 574-2888;La prèle, 3;New york;14661;U.S;English;employee_jod-image.png;;;22/03/16;Francois
Patsy Smith;(441) 152-1916;Glass AV;Amsterdam;14662;U.S;English;employee_jog-image.jpg;;;23/03/16;Francois
Helen Spitzer;(267) 479-9767;Home sweet Home;Mechelen;14663;BE;English;employee_jth-image.png;Categ1,Categ2;;24/03/16;Francois
Mark Quintero;(731) 281-4198;PO Box 13821;Lyon;14664;FR;English;employee_jve-image.jpg;Categ3,Categ4;;25/03/16;Thibault
Barbara Stone;(470) 810-8727;Marnixstraat 21;SF;14665;U.S;Dutch;employee_lur-image.png;Categ4,Categ5;Gold;26/03/16;Thibault
Jonathan Mcmahon;(674) 384-9415;Eggelaan 23;Delft;14666;NL;English;employee_mit-image.png;;;27/03/16;Thibault
Brenda Velazquez;(961) 376-5348;J en M Sabbestraat 11;Marche-en-famenne;14667;Belgique;English;employee_mit-image.png;;;28/03/16;Francois
June Washington;(111) 386-6404;Rue de la Fusée 96;Namur;14668;Belgique;English;employee_niv-image.jpg;Categ5,Categ6;;29/03/16;Francois
Efrain Kerns;(862) 235-4861;Rue de la poste;Brussel;14669;Belgique;English;employee_al-image.jpg;;Silver;30/03/16;Thibault
Tammy Burrell;(771) 557-3125;Downing Street;Paris;14670;FR;English;employee_chs-image.jpg;;;31/03/16;Thibault
Alicia Anderson;(557) 319-4151;La prèle, 3;New york;14671;U.S;English;employee_djj-image.png;;;01/04/16;Thibault
Cheryl Martirano;(368) 752-2010;Glass AV;Amsterdam;14672;U.S;English;employee_dzc-image.jpg;Categ1,Categ5;;02/04/16;Francois
Gerald Rivera;(590) 727-2550;Home sweet Home;Mechelen;14673;BE;English;employee_fme-image.jpg;;;03/04/16;Francois
Brian Jones;(512) 795-6624;PO Box 13821;Lyon;14674;FR;Dutch;employee_fpi-image.jpg;;;04/04/16;Francois
Anna Mcguire;(236) 479-5245;Marnixstraat 21;SF;14675;U.S;English;employee_fp-image.jpg;;Bronze;05/04/16;Francois
Carolyn Joosten;(666) 524-5467;Eggelaan 23;Delft;14676;NL;English;employee_han-image.png;Categ1,Categ2;;06/04/16;Thibault
Audrey Warren;(722) 903-5243;J en M Sabbestraat 11;Marche-en-famenne;14677;Belgique;English;employee_hne-image.png;Categ3,Categ4;;07/04/16;Thibault
Robert Hollins;(912) 992-7947;Rue de la Fusée 96;Namur;14678;Belgique;English;employee-image.png;Categ4,Categ5;;08/04/16;Thibault
Malia Maki;(858) 590-6447;Rue de la poste;Brussel;14679;Belgique;French;employee_jep-image.jpg;;Bronze;09/04/16;Francois
David Saunders;(213) 229-1084;Downing Street;Paris;14680;FR;English;employee_jgo-image.jpg;;;10/04/16;Francois
Gena Popp;(919) 581-7824;La prèle, 3;New york;14681;U.S;English;employee_jod-image.png;Categ5,Categ6;;11/04/16;Thibault
Leo Rezac;(349) 318-9036;Glass AV;Amsterdam;14682;U.S;English;employee_jog-image.jpg;;;12/04/16;Thibault
Nathan Love;(913) 785-3527;Home sweet Home;Mechelen;14683;BE;English;employee_jth-image.png;;;13/04/16;Thibault
Denice Boyd;(776) 498-0085;PO Box 13821;Lyon;14684;FR;English;employee_jve-image.jpg;;Bronze;14/04/16;Thibault
Katherine Ewing;(590) 986-1342;Marnixstraat 21;SF;14685;U.S;Dutch;employee_lur-image.png;Categ1,Categ5;;15/04/16;Thibault
Dorothy Barnfield;(358) 819-0020;Eggelaan 23;Delft;14686;NL;English;employee_mit-image.png;;;16/04/16;Thibault
Ronald Kassler;(603) 747-4202;J en M Sabbestraat 11;Marche-en-famenne;14687;Belgique;English;employee_mit-image.png;;;17/04/16;Francois
